NOME,FASE_2022,NIVEL_IDEAL_2022
ALUNO-456,1,Fase 2 (5º e 6º ano)
ALUNO-457,,
ALUNO-458,,
ALUNO-459,,
ALUNO-460,,
ALUNO-461,1,Fase 2 (5º e 6º ano)
ALUNO-462,,
ALUNO-463,5,Fase 4 (9º ano)
ALUNO-464,,
ALUNO-465,1,Fase 2 (5º e 6º ano)
ALUNO-466,,
ALUNO-467,,
ALUNO-468,,
ALUNO-469,4,Fase 4 (9º ano)
ALUNO-470,1,Fase 2 (5º e 6º ano)
ALUNO-471,1,Fase 2 (5º e 6º ano)
ALUNO-472,,
ALUNO-473,,
ALUNO-474,2,Fase 3 (7º e 8º ano)
ALUNO-475,3,Fase 4 (9º ano)
ALUNO-476,,
ALUNO-477,2,Fase 4 (9º ano)
ALUNO-478,,
ALUNO-479,6,Fase 7 (3º EM)
ALUNO-480,0,ALFA  (2º e 3º ano)
ALUNO-481,0,Fase 2 (5º e 6º ano)
ALUNO-482,3,Fase 4 (9º ano)
ALUNO-483,3,Fase 3 (7º e 8º ano)
ALUNO-484,,
ALUNO-485,,
ALUNO-486,3,Fase 4 (9º ano)
ALUNO-487,,
ALUNO-488,,
ALUNO-489,1,Fase 2 (5º e 6º ano)
ALUNO-490,4,Fase 7 (3º EM)
ALUNO-491,2,Fase 3 (7º e 8º ano)
ALUNO-492,,
ALUNO-493,1,Fase 2 (5º e 6º ano)
ALUNO-494,,
ALUNO-495,,
ALUNO-496,5,Fase 3 (7º e 8º ano)
ALUNO-497,3,Fase 3 (7º e 8º ano)
ALUNO-498,3,Fase 3 (7º e 8º ano)
ALUNO-499,2,Fase 3 (7º e 8º ano)
ALUNO-500,,
ALUNO-501,1,Fase 3 (7º e 8º ano)
ALUNO-502,4,Fase 5 (1º EM)
ALUNO-503,1,Fase 2 (5º e 6º ano)
ALUNO-504,5,Fase 7 (3º EM)
ALUNO-505,4,Fase 4 (9º ano)
ALUNO-506,,
ALUNO-507,4,Fase 5 (1º EM)
ALUNO-508,0,Fase 1 (4º ano)
ALUNO-509,,
ALUNO-510,0,Fase 1 (4º ano)
ALUNO-511,,
ALUNO-512,,
ALUNO-513,1,Fase 2 (5º e 6º ano)
ALUNO-514,5,Fase 6 (2º EM)
ALUNO-515,,
ALUNO-516,0,Fase 1 (4º ano)
ALUNO-517,,
ALUNO-518,,
ALUNO-519,0,ALFA  (2º e 3º ano)
ALUNO-520,4,Fase 3 (7º e 8º ano)
ALUNO-521,2,Fase 3 (7º e 8º ano)
ALUNO-522,2,Fase 3 (7º e 8º ano)
ALUNO-523,,
ALUNO-524,1,Fase 2 (5º e 6º ano)
ALUNO-525,7,Fase 8 (Universitários)
ALUNO-526,,
ALUNO-527,7,Fase 8 (Universitários)
ALUNO-528,3,Fase 4 (9º ano)
ALUNO-529,1,Fase 3 (7º e 8º ano)
ALUNO-530,,
ALUNO-531,,
ALUNO-532,0,Fase 2 (5º e 6º ano)
ALUNO-533,,
ALUNO-534,,
ALUNO-535,,
ALUNO-536,2,Fase 3 (7º e 8º ano)
ALUNO-537,0,Fase 2 (5º e 6º ano)
ALUNO-538,,
ALUNO-539,0,Fase 1 (4º ano)
ALUNO-540,,
ALUNO-541,5,Fase 5 (1º EM)
ALUNO-542,,
ALUNO-543,0,ALFA  (2º e 3º ano)
ALUNO-544,3,Fase 4 (9º ano)
ALUNO-545,,
ALUNO-546,7,Fase 8 (Universitários)
ALUNO-547,,
ALUNO-548,1,Fase 1 (4º ano)
ALUNO-549,,
ALUNO-550,,
ALUNO-551,0,ALFA  (2º e 3º ano)
ALUNO-552,,
ALUNO-553,1,Fase 2 (5º e 6º ano)
ALUNO-554,2,Fase 3 (7º e 8º ano)
ALUNO-555,,
ALUNO-556,3,Fase 5 (1º EM)
ALUNO-557,3,Fase 4 (9º ano)
ALUNO-558,3,Fase 5 (1º EM)
ALUNO-559,,
ALUNO-560,2,Fase 3 (7º e 8º ano)
ALUNO-561,3,Fase 6 (2º EM)
ALUNO-562,3,Fase 2 (5º e 6º ano)
ALUNO-563,1,Fase 2 (5º e 6º ano)
ALUNO-564,,
ALUNO-565,1,Fase 2 (5º e 6º ano)
ALUNO-566,6,Fase 6 (2º EM)
ALUNO-567,,
ALUNO-568,,
ALUNO-569,1,Fase 2 (5º e 6º ano)
ALUNO-570,,
ALUNO-571,,
